STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/1/2024,0,75,61
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/2/2024,0.41,79,62
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/3/2024,0.3,66,49
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/4/2024,0,62,42
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/5/2024,0,61,41
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/6/2024,0,64,36
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/7/2024,0,72,37
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/8/2024,0,75,50
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/9/2024,0.23,64,56
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/10/2024,0.1,71,58
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/11/2024,0.03,75,54
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/12/2024,0,67,49
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/13/2024,0,76,44
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/14/2024,0,83,47
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/15/2024,0,83,56
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/16/2024,0,82,56
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/17/2024,0.03,78,61
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/18/2024,0,86,52
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/19/2024,0.06,83,64
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/20/2024,0.12,79,55
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/21/2024,0.04,58,47
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/22/2024,0,66,41
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/23/2024,,72,38
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/24/2024,0,75,50
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/25/2024,0,78,48
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/26/2024,0,80,55
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/27/2024,0,74,58
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/28/2024,0,77,59
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/29/2024,0,77,54
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",4/30/2024,0.11,77,58
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/2/2024,,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/3/2024,1.08,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/4/2024,0,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/7/2024,0,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/8/2024,0,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/9/2024,0.38,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/10/2024,0.43,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/11/2024,0.43,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/12/2024,0.03,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/14/2024,,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/15/2024,0,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/16/2024,0,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/18/2024,0.04,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/21/2024,0.21,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/22/2024,0.13,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/23/2024,0,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/24/2024,0,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/25/2024,0,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/26/2024,0,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/28/2024,,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/29/2024,0,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",4/30/2024,0.02,,
US1GACK0027,"ATHENS 3.8 WNW, GA US",4/1/2024,0,,
US1GACK0027,"ATHENS 3.8 WNW, GA US",4/2/2024,0,,
