STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/1/2024,0,84,51
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/2/2024,0,86,54
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/3/2024,0.01,86,66
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/4/2024,0.16,78,64
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/5/2024,1.04,85,62
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/6/2024,0,86,65
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/7/2024,0,83,65
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/8/2024,0,86,69
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/9/2024,0.48,77,64
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/10/2024,0.13,81,59
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/11/2024,0,74,50
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/12/2024,0,79,53
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/13/2024,0.04,66,59
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/14/2024,0.09,75,61
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/15/2024,0.01,80,61
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/16/2024,0,82,58
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/17/2024,0.01,72,62
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/18/2024,0.11,78,62
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/19/2024,0,82,61
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/20/2024,0,85,58
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/21/2024,0,85,63
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/22/2024,0,87,63
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/23/2024,0,88,65
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/24/2024,0.04,88,67
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/25/2024,0.04,84,66
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/26/2024,0,91,67
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/27/2024,,86,64
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/28/2024,0,85,63
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/29/2024,0,83,64
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/30/2024,0,81,57
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",5/31/2024,0,80,54
US1GAFT0073,"ATLANTA 5.3 NE, GA US",5/1/2024,0.04,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",5/2/2024,0,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",5/4/2024,0.04,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",5/5/2024,0.52,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",5/6/2024,0.05,,
US1GAFT0073,"ATLANTA 5.3 NE, GA US",5/7/2024,0,,
